japanese,romaji,english,jlpt,pos,example_jp,example_en,notes
影響,eikyou,Influence / impact,N3,noun,景気の影響を受けました。,We were affected by the economy.,Common business
状況,joukyou,Situation / condition,N3,noun,状況を説明してください。,Please explain the situation.,Formal
環境,kankyou,Environment,N3,noun,環境問題は深刻です。,Environmental issues are serious.,Common topic
社会,shakai,Society,N3,noun,社会のためになります。,It's for the good of society.,Common
政治,seiji,Politics,N3,noun,政治の話は避けます。,I avoid political topics.,Common
経済,keizai,Economy,N3,noun,日本経済が回復しました。,The Japanese economy recovered.,Common business
文化,bunka,Culture,N3,noun,日本文化に興味があります。,I'm interested in Japanese culture.,Common
歴史,rekishi,History,N3,noun,日本の歴史を勉強します。,I study Japanese history.,Common
科学,kagaku,Science,N3,noun,科学技術が進歩しています。,Science and technology are advancing.,Field
技術,gijutsu,Technology / skill,N3,noun,新しい技術を開発しました。,We developed new technology.,Field
情報,jouhou,Information,N3,noun,情報を集めます。,I gather information.,Common
資料,shiryou,Material / documents,N3,noun,会議の資料を準備します。,I prepare meeting materials.,Business
書類,shorui,Documents / papers,N3,noun,書類を整理しました。,I organized the documents.,Business
契約,keiyaku,Contract,N3,noun,契約を結びます。,We make a contract.,Business
取引,torihiki,Business deal / transaction,N3,noun,取引が成立しました。,The deal was concluded.,Business
会議,kaigi,Meeting,N3,noun,会議は何時からですか。,What time is the meeting?,Common
発表,happyou,Announcement / presentation,N3,noun,結果を発表します。,I'll announce the results.,Common
報告,houkoku,Report,N3,noun,上司に報告しました。,I reported to my boss.,Business
相談,soudan,Consultation / discussion,N3,noun,相談したいことがあります。,I have something to consult about.,Common
許可,kyoka,Permission,N3,noun,許可をもらいました。,I got permission.,Common
禁止,kinshi,Prohibition,N3,noun,駐車禁止です。,Parking is prohibited.,Sign
規則,kisoku,Rule / regulation,N3,noun,規則を守ってください。,Please follow the rules.,Common
法律,houritsu,Law,N3,noun,法律で禁止されています。,It's prohibited by law.,Common
権利,kenri,Right (legal),N3,noun,これは私の権利です。,This is my right.,Common
責任,sekinin,Responsibility,N3,noun,責任を取ります。,I'll take responsibility.,Common
義務,gimu,Duty / obligation,N3,noun,それは義務です。,That is a duty.,Common
習慣,shuukan,Habit / custom,N3,noun,朝食を食べる習慣があります。,I have the habit of eating breakfast.,Common
伝統,dentou,Tradition,N3,noun,伝統文化を大切にします。,We value traditional culture.,Common
祭り,matsuri,Festival,N3,noun,夏祭りに行きました。,I went to the summer festival.,Cultural
お祝い,oiwai,Celebration,N3,noun,卒業のお祝いをしました。,We celebrated graduation.,Cultural
祈る,inoru,To pray / wish,N3,verb,健康を祈ります。,I pray for good health.,Religious / wishful
願う,negau,To wish / desire,N3,verb,成功を願っています。,I'm wishing for success.,Common
信じる,shinjiru,To believe,N3,verb,あなたを信じます。,I believe in you.,Trust
疑う,utagau,To doubt,N3,verb,彼の話を疑います。,I doubt his story.,Skeptical
助ける,tasukeru,To help / save,N3,verb,友達を助けました。,I helped my friend.,Common
守る,mamoru,To protect / keep,N3,verb,約束を守ります。,I keep my promise.,Common
育てる,sodateru,To raise / nurture,N3,verb,子供を育てています。,I'm raising children.,Family
教える,oshieru,To teach,N4,verb,日本語を教えてください。,Please teach me Japanese.,Common
学ぶ,manabu,To learn,N3,verb,新しいことを学びます。,I learn new things.,Formal
研究,kenkyuu,Research,N3,noun,大学で研究しています。,I'm researching at university.,Academic
発見,hakken,Discovery,N3,noun,新しい発見がありました。,There was a new discovery.,Academic
発明,hatsumei,Invention,N3,noun,電球を発明しました。,He invented the light bulb.,Historical
能力,nouryoku,Ability,N3,noun,能力を伸ばします。,I'll develop my abilities.,Self-improvement
才能,sainou,Talent,N3,noun,音楽の才能があります。,He has musical talent.,Personal
努力,doryoku,Effort,N3,noun,努力が大切です。,Effort is important.,Common
成功,seikou,Success,N3,noun,試験に成功しました。,I succeeded in the exam.,Common
失敗,shippai,Failure,N3,noun,失敗から学びます。,I learn from failure.,Common
原因,gen-in,Cause / reason,N3,noun,事故の原因を調べます。,I investigate the cause of the accident.,Common
結果,kekka,Result,N3,noun,試験の結果が出ました。,The exam results came out.,Common
方法,houhou,Method / way,N3,noun,いい方法があります。,There's a good method.,Common
手段,shudan,Means / way,N3,noun,交通手段を考えます。,I consider transportation means.,Formal
基本,kihon,Basics / foundation,N3,noun,基本から勉強します。,I study from basics.,Common
詳しい,kuwashii,Detailed / familiar with,N3,adjective,日本史に詳しいです。,I'm knowledgeable about Japanese history.,Adjective
