japanese,romaji,english,jlpt,pos,example_jp,example_en,notes
活躍,katsuyaku,Active role / playing big part,N3,noun,世界で活躍する選手。,An athlete who is active worldwide.,Career
活動,katsudou,Activity,N3,noun,ボランティア活動をします。,I do volunteer activities.,Common
活気,kakki,Liveliness / vigor,N3,noun,街は活気にあふれている。,The town is full of life.,Atmosphere
評価,hyouka,Evaluation,N3,noun,作品の評価が高い。,The work's evaluation is high.,Formal
批判,hihan,Criticism,N3,noun,激しい批判を受けた。,He received harsh criticism.,Negative
反対,hantai,Opposition / opposite,N3,noun,反対意見もあります。,There are opposing opinions too.,Common
賛成,sansei,Agreement,N3,noun,その案に賛成です。,I agree with that proposal.,Common
意見,iken,Opinion,N4,noun,意見を交換します。,We exchange opinions.,Common
討論,touron,Debate,N3,noun,熱い討論が続いた。,Heated debate continued.,Formal
議論,giron,Discussion / argument,N3,noun,議論の余地がある。,There is room for discussion.,Common
解決,kaiketsu,Resolution / solution,N3,noun,問題を解決します。,I solve the problem.,Common
解決策,kaiketsusaku,Solution / measure,N3,noun,解決策を提案します。,I propose a solution.,Business
対策,taisaku,Countermeasure,N3,noun,対策を考えます。,We think of countermeasures.,Common
対応,taiou,Response / handling,N3,noun,迅速な対応をします。,We respond quickly.,Business
処理,shori,Processing / handling,N3,noun,データを処理します。,I process the data.,Technical
作業,sagyou,Work / task,N3,noun,作業を始めます。,I begin the task.,Common
作成,sakusei,Creation / preparation,N3,noun,書類を作成します。,I prepare documents.,Business
作品,sakuhin,Work (of art),N3,noun,有名な作品です。,It's a famous work.,Art
製品,seihin,Product,N3,noun,新製品が発売された。,A new product was released.,Business
商品,shouhin,Merchandise,N3,noun,商品を返品します。,I return the merchandise.,Shopping
品物,shinamono,Goods / things,N3,noun,いい品物ですね。,These are nice goods.,Shopping
価値,kachi,Value,N3,noun,価値のあるものです。,It is something valuable.,Abstract
価格,kakaku,Price,N3,noun,価格が上がりました。,The price went up.,Business
割引,waribiki,Discount,N3,noun,10%割引します。,I'll give a 10% discount.,Shopping
無料,muryou,Free of charge,N3,adjective(na),入場は無料です。,Admission is free.,Common
有料,yuuryou,Charged / paid,N3,adjective(na),駐車場は有料です。,Parking is paid.,Common
