japanese,romaji,english,jlpt,pos,example_jp,example_en,notes
気にする,kinisuru,To care about / mind,N4,verb,気にしないでください。,Please don't mind it.,Common reassurance
気がする,kigasuru,To feel like / have a hunch,N4,verb,雨が降る気がする。,I feel like it will rain.,Subjective intuition
気をつける,kiotsukeru,To be careful,N4,verb,車に気をつけてください。,Please be careful of cars.,Warning
気が合う,kigaau,To get along,N4,verb,彼とは気が合う。,I get along with him.,Friendship
気分,kibun,Mood / feeling,N4,noun,気分がいい。,I feel good.,Common
予定,yotei,Plan / schedule,N4,noun,明日の予定は何ですか。,What is tomorrow's plan?,Common scheduling
都合,tsugou,Convenience,N4,noun,都合が悪い。,The timing is bad.,Polite refusal
場合,baai,Case / situation,N4,noun,その場合はどうしますか。,What do you do in that case?,Conditional
場所,basho,Place / location,N4,noun,会う場所を決めましょう。,Let's decide the meeting place.,Common
最初,saisho,First / beginning,N4,noun,最初に来ました。,I came first.,Order
最後,saigo,Last / end,N4,noun,最後に駅で会いました。,We met last at the station.,Order
中,naka,Inside / middle,N5,noun,箱の中にあります。,It's inside the box.,Spatial
外,soto,Outside,N5,noun,外で待っています。,I'm waiting outside.,Spatial
左,hidari,Left,N5,noun,左に曲がってください。,Please turn left.,Direction
右,migi,Right,N5,noun,右の店です。,It's the shop on the right.,Direction
上,ue,Above / up,N5,noun,机の上にあります。,It's on the desk.,Spatial
下,shita,Below / down,N5,noun,椅子の下を見てください。,Please look under the chair.,Spatial
前,mae,Before / in front of,N5,noun,駅の前で会いましょう。,Let's meet in front of the station.,Spatial/time
後ろ,ushiro,Behind,N5,noun,後ろから来ました。,He came from behind.,Spatial
東,higashi,East,N4,noun,東京の東部に住んでいます。,I live in the east of Tokyo.,Direction
西,nishi,West,N4,noun,西から太陽が沈む。,The sun sets in the west.,Direction
南,minami,South,N4,noun,南へ行きましょう。,Let's go south.,Direction
北,kita,North,N4,noun,北海道は寒いです。,Hokkaido is cold.,Direction
食事,shokuji,Meal,N4,noun,食事の時間です。,It's meal time.,Common
朝食,choushoku,Breakfast,N4,noun,朝食は何時ですか。,What time is breakfast?,Formal
昼食,chuushoku,Lunch,N4,noun,昼食を食べました。,I ate lunch.,Formal
夕食,yuushoku,Dinner,N4,noun,夕食の準備をします。,I'll prepare dinner.,Formal
ご飯,gohan,Cooked rice / meal,N5,noun,ご飯を食べましょう。,Let's eat.,Casual food word
パン,pan,Bread,N5,noun,パンを買いました。,I bought bread.,Loanword
お茶,ocha,Tea,N5,noun,お茶を飲みます。,I drink tea.,Common
コーヒー,koohii,Coffee,N5,noun,コーヒーが好きです。,I like coffee.,Loanword
ビール,biiru,Beer,N5,noun,ビールを一杯ください。,One beer please.,Loanword
ワイン,wain,Wine,N5,noun,赤ワインを飲みます。,I drink red wine.,Loanword
日本,nihon,Japan,N5,noun,日本に行きたい。,I want to go to Japan.,Country
韓国,kankoku,Korea,N5,noun,韓国から来ました。,I came from Korea.,Country
中国,chuugoku,China,N5,noun,中国語を勉強します。,I study Chinese.,Country
アメリカ,amerika,America,N5,noun,アメリカに住んでいます。,I live in America.,Country
イギリス,igirisu,England,N5,noun,イギリスから来ました。,I came from England.,Country
覚える,oboeru,To remember / learn,N4,verb,日本語を覚えています。,I'm learning Japanese.,Common
忘れる,wasureru,To forget,N4,verb,鍵を忘れました。,I forgot my keys.,Common
教える,oshieru,To teach / tell,N4,verb,日本語を教えてください。,Please teach me Japanese.,Request
習う,narau,To learn,N4,verb,ピアノを習っています。,I'm learning piano.,Skill
練習,renshuu,Practice,N4,noun,毎日練習します。,I practice every day.,Common
試験,shiken,Exam,N4,noun,明日試験があります。,I have an exam tomorrow.,Common
宿題,shukudai,Homework,N4,noun,宿題をしました。,I did my homework.,School
質問,shitsumon,Question,N4,noun,質問があります。,I have a question.,Common
答え,kotae,Answer,N4,noun,答えを書いてください。,Please write the answer.,Common
意見,iken,Opinion,N4,noun,意見を聞かせてください。,Please let me hear your opinion.,Discussion
説明,setsumei,Explanation,N4,noun,説明してください。,Please explain.,Request
紹介,shoukai,Introduction,N4,noun,友達を紹介します。,I'll introduce my friend.,Social
連絡,renraku,Contact / notification,N4,noun,後で連絡します。,I'll contact you later.,Common
返事,henji,Reply / response,N4,noun,返事を待っています。,I'm waiting for a reply.,Common
お願い,onegai,Please / request,N4,noun,お願いがあります。,I have a request.,Polite
ありがた迷惑,arigatameiwaku,Unwelcome favor,N2,noun,ありがた迷惑な親切。,Unwelcome kindness.,Idiom
お互い,otagai,Each other,N4,noun,お互いに頑張りましょう。,Let's do our best together.,Common
皆さん,minasan,Everyone (polite),N5,noun,皆さんこんにちは。,"Hello, everyone.",Polite address
家族,kazoku,Family,N5,noun,私の家族は5人です。,My family is 5 people.,Common
両親,ryoushin,Parents (formal),N4,noun,両親に会いに行きます。,I'm going to meet my parents.,Formal
父,chichi,Father (own),N5,noun,父は会社員です。,My father is an office worker.,Own family
母,haha,Mother (own),N5,noun,母は料理が上手です。,My mother is good at cooking.,Own family
兄,ani,Older brother (own),N5,noun,兄が二人います。,I have two older brothers.,Own family
姉,ane,Older sister (own),N5,noun,姉は医者です。,My older sister is a doctor.,Own family
弟,otouto,Younger brother (own),N5,noun,弟はまだ学生です。,My younger brother is still a student.,Own family
妹,imouto,Younger sister (own),N5,noun,妹は中学生です。,My younger sister is a middle schooler.,Own family
友達,tomodachi,Friend,N5,noun,友達と遊びます。,I play with friends.,Common
恋人,koibito,Lover / partner,N4,noun,恋人と旅行に行きました。,I went on a trip with my partner.,Romantic
結婚,kekkon,Marriage,N4,noun,来年結婚します。,I'll marry next year.,Common life event
